baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneSymbol	gene_type
1933.1533039712	-3.3750058605485	0.0837201886761372	-40.3129270719199	0	0	F3	protein_coding
7291.67685297191	5.95305396762034	0.0845996415877952	70.3673662901092	0	0	TXNIP	protein_coding
1894.51779259067	-4.16438920643928	0.0999138814335577	-41.6797860986772	0	0	DHRS9	protein_coding
1409.87810853359	-4.87691415886168	0.118681601633107	-41.0924194799646	0	0	AREG	protein_coding
1662.93335796656	-3.88619292726948	0.0926669416129226	-41.9372093178862	0	0	SLC7A11	protein_coding
1571.91487423073	-3.5147935760331	0.0935942116688783	-37.5535357727878	0	0	BASP1	protein_coding
2173.01686916276	-3.73917025598494	0.0859660696789206	-43.4958847130103	0	0	FYB1	protein_coding
4498.47824950306	-3.47064541271018	0.0878047801262315	-39.5268390595666	0	0	COL12A1	protein_coding
2046.38168514497	-6.42626791950307	0.136173016672647	-47.1919332957974	0	0	CALB1	protein_coding
1587.48750283243	-4.27097300451495	0.108498416019902	-39.3643811696894	0	0	NDRG1	protein_coding
1245.16752537679	-4.33773605365156	0.113430562196733	-38.2413343427518	0	0	GDA	protein_coding
48418.8795411054	-2.37634574962197	0.0600144091436885	-39.5962533586301	0	0	HSPA5	protein_coding
3788.29122355836	-3.80107864074245	0.0744046544016543	-51.0865707435897	0	0	DDIT4	protein_coding
6970.2531260883	-3.10184100070708	0.0615626973943626	-50.3850729742574	0	0	MMRN2	protein_coding
1648.330264106	4.01706213433545	0.0978042630679153	41.0724646178869	0	0	MMP1	protein_coding
6895.28052098152	-2.4389615381743	0.0639193767469412	-38.1568416699403	0	0	EMP1	protein_coding
1676.304128699	-5.56035911398947	0.12375657239731	-44.9298086257465	0	0	KRT5	protein_coding
1239.68136589019	-4.50942912920799	0.118579842334393	-38.028631514718	0	0	DDIT3	protein_coding
3253.85165709683	-3.48353400726684	0.0869246354745467	-40.0753363905321	0	0	CRIP2	protein_coding
1140.1928465754	-4.06494022735356	0.105708457802399	-38.4542572265331	0	0	TGM5	protein_coding
5346.34261150981	-3.37115454024292	0.0685999211069119	-49.1422509799834	0	0	HERPUD1	protein_coding
36012.3886182631	-2.86905527366852	0.0558538880317032	-51.367154101072	0	0	SLC7A5	protein_coding
3986.48234038084	4.59433334582222	0.0894938272840505	51.3368741202671	0	0	C3	protein_coding
8916.89289808309	-3.38666901410323	0.0667544017430465	-50.733268903215	0	0	GDF15	protein_coding
9290.48417852801	-5.72514089691951	0.0723970741875489	-79.0797274774971	0	0	CEACAM6	protein_coding
4187.286636458	-4.00155430102194	0.0779244903258275	-51.3516903901475	0	0	TRIB3	protein_coding
3644.75644285437	-2.9955662286672	0.0692240190114722	-43.2735092738657	0	0	THBD	protein_coding
2580.51448763509	-3.28677480623528	0.0739474646481609	-44.4474306438176	0	0	ABCG1	protein_coding
17849.8830443022	-2.19035450607519	0.0584247911263113	-37.4901555290075	1.33264114865471e-307	1.10494332480698e-304	IGFBP3	protein_coding
4332.13908927309	-2.52226385156557	0.0678079480714774	-37.1971711768481	7.58191566789087e-303	6.07690540781453e-300	DUSP4	protein_coding
2202.64117288371	2.68388164757886	0.0748038802027409	35.8789094937954	6.51564805579154e-282	5.0538308871454e-279	SLC14A1	protein_coding
2232.77074694384	-2.88219355276578	0.0804907782464817	-35.8077486086646	8.36659388675534e-281	6.28671093771975e-278	WNT10A	protein_coding
1538.75807274844	-3.04068937643697	0.0856015634232963	-35.5214233810296	2.295631213402e-276	1.67268037958336e-273	HEY1	protein_coding
1807.29922012391	-2.83961085673617	0.0804818493033991	-35.2826243595802	1.08477303755857e-272	7.67157873179287e-270	OTUD1	protein_coding
3278.65935019815	-3.07275508243949	0.0878750554085335	-34.9673188614695	7.06455002803192e-268	4.85334586925793e-265	PSCA	protein_coding
994.129576837426	-6.33725627227242	0.182284439929374	-34.765755512252	8.01184920879436e-265	5.3512476173739e-262	CEACAM5	protein_coding
2330.80017794462	-2.91612368803468	0.0842339988953529	-34.619319114334	1.29386066784294e-262	8.40834588061719e-260	NEDD9	protein_coding
6048.77038263365	-2.12762853014726	0.0629628391593481	-33.7918136881121	2.60140925850015e-250	1.64607593738516e-247	PIM1	protein_coding
1188.84818760973	-3.26751508309348	0.0968549250731763	-33.7361789359167	1.70499925126581e-249	1.05119761529965e-246	BST2	protein_coding
764.354570730163	-4.16016052979631	0.125381235351706	-33.1800888556144	2.08592329341524e-241	1.25390063975423e-238	PCSK9	protein_coding
1727.8358229767	3.32163183739759	0.100374968222362	33.0922330160955	3.84386465343809e-240	2.2542859900468e-237	CFH	protein_coding
740.860324961299	-4.77545708192916	0.144426036882798	-33.0650704332796	9.44796670593751e-240	5.40896093914923e-237	ALPP	protein_coding
798.937076700306	4.93251653581562	0.150753735614703	32.7190335662538	8.3748890553536e-235	4.68312110083668e-232	OLFM2	protein_coding
750.034111879663	-4.66198535591645	0.144481848399111	-32.2669276976467	2.0366317804961e-228	1.1129729809552e-225	ASS1	protein_coding
6427.44366466298	2.16791657753519	0.0672058370643619	32.2578614036013	2.72939013623867e-228	1.45840412946353e-225	TCEAL9	protein_coding
2720.20404041555	-2.22900910326765	0.0698086253374469	-31.930282146266	1.01480059361077e-223	5.30453918986325e-221	HPGD	protein_coding
2316.75128321455	-2.39637391046346	0.0750917111180002	-31.9126289011815	1.78382752857783e-223	9.12598572864978e-221	PTGS2	protein_coding
7140.45650370259	-1.96427505369154	0.0615597625330365	-31.9084248032535	2.04019995748301e-223	1.02201266620165e-220	CAV1	protein_coding
3285.69680876918	-2.38430994375811	0.0750116993562543	-31.7858409317494	1.01578738850599e-221	4.98461382788298e-219	PPP1R15A	protein_coding
1825.01603125392	-2.87056313389143	0.090361899933295	-31.76740568769	1.82586322970063e-221	8.78057627163033e-219	C1orf116	protein_coding
1504.90484860887	-2.82229908327954	0.0891928016336463	-31.6426777899853	9.56295913623007e-220	4.50865396922847e-217	SEMA3B	protein_coding
9252.60763523619	-11.9700139626918	0.37863881747322	-31.6132773775588	2.42568855666265e-219	1.12164771817218e-216	H19	processed_transcript
770.630261632311	-3.88768046974496	0.123848758289032	-31.3905486292571	2.72317362454956e-216	1.23544735476027e-213	HEG1	protein_coding
847.285781770116	-4.6836373451258	0.150336831489377	-31.1542906600153	4.43683175108844e-213	1.97562258249855e-210	CHAC1	protein_coding
